# Synthetic but realistic seccomp audit log for basic shell workload
# Captured style: journalctl -k | grep seccomp  (x86_64)

[  1234.567890] audit: type=1326 audit(1710000000.123:42): arch=c000003e syscall=59 success=yes exit=0 a0=0x7ff... a1=0x7ff... a2=0x7ff... a3=0x0 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023 key=(null)
[  1234.567910] audit: type=1326 audit(1710000000.124:43): arch=c000003e syscall=0 success=yes exit=5 a0=0x3 a1=0x7ff... a2=0x1000 a3=0x0 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=... key=(null)
[  1234.567920] audit: type=1326 audit(1710000000.124:44): arch=c000003e syscall=1 success=yes exit=5 a0=0x1 a1=0x7ff... a2=0x5 a3=0x0 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=... key=(null)
[  1234.567930] audit: type=1326 audit(1710000000.125:45): arch=c000003e syscall=3 success=yes exit=0 a0=0x3 a1=0x0 a2=0x0 a3=0x0 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=... key=(null)
[  1234.567940] audit: type=1326 audit(1710000000.125:46): arch=c000003e syscall=257 success=yes exit=3 a0=0xffffff9c a1=0x7ff... a2=0x0 a3=0x0 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=... key=(null)
[  1234.567950] audit: type=1326 audit(1710000000.126:47): arch=c000003e syscall=9 success=yes exit=140737488347136 a0=0x0 a1=0x1000 a2=0x3 a3=0x22 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=... key=(null)
[  1234.567960] audit: type=1326 audit(1710000000.126:48): arch=c000003e syscall=12 success=yes exit=140737488355328 a0=0x55... a1=0x0 a2=0x0 a3=0x0 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=... key=(null)
[  1234.567970] audit: type=1326 audit(1710000000.127:49): arch=c000003e syscall=10 success=yes exit=0 a0=0x7f... a1=0x1000 a2=0x5 a3=0x0 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=... key=(null)
[  1234.567980] audit: type=1326 audit(1710000000.127:50): arch=c000003e syscall=202 success=yes exit=0 a0=0x7f... a1=0x80 a2=0x0 a3=0x0 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=... key=(null)
[  1234.567990] audit: type=1326 audit(1710000000.128:51): arch=c000003e syscall=228 success=yes exit=0 a0=0x0 a1=0x7f... a2=0x0 a3=0x0 items=0 ppid=1234 pid=5678 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm="sh" exe="/usr/bin/bash" subj=... key=(null)
